100,0.000426054,0
100,0.00041604,1
100,0.000554085,2
100,0.000571012,3
100,0.000669956,4
100,0.000624895,5
100,0.00067997,6
100,0.000947952,7
100,0.00216985,8
100,0.00432396,9
100,0.00208497,10
100,0.0020721,11
100,0.0018549,12
100,0.00104594,13
100,0.001091,14
100,0.000983953,15
200,0.00478792,0
200,0.00475502,1
200,0.00400901,2
200,0.00310397,3
200,0.00268984,4
200,0.00252295,5
200,0.00282717,6
200,0.00372505,7
200,0.00406098,8
200,0.00391102,9
200,0.00384212,10
200,0.00395107,11
200,0.00388312,12
200,0.00377297,13
200,0.00371408,14
200,0.00399303,15
300,0.0146708,0
300,0.014663,1
300,0.010407,2
300,0.00789595,3
300,0.00657105,4
300,0.00579214,5
300,0.007025,6
300,0.0131459,7
300,0.00728488,8
300,0.00654006,9
300,0.00666499,10
300,0.00674915,11
300,0.00602603,12
300,0.00645494,13
300,0.00612521,14
300,0.00597906,15
400,0.0277281,0
400,0.027714,1
400,0.019505,2
400,0.014076,3
400,0.0115318,4
400,0.00993514,5
400,0.0126581,6
400,0.011194,7
400,0.011584,8
400,0.0105109,9
400,0.010483,10
400,0.0099721,11
400,0.00833607,12
400,0.00882101,13
400,0.00872588,14
400,0.00862217,15
600,0.121667,0
600,0.121667,1
600,0.0762179,2
600,0.0538261,3
600,0.0426919,4
600,0.0363829,5
600,0.04761,6
600,0.0434411,7
600,0.038615,8
600,0.0363681,9
600,0.0322111,10
600,0.0314109,11
600,0.030473,12
600,0.029485,13
600,0.0270009,14
600,0.0259061,15
1000,1.37831,0
1000,1.3766,1
1000,0.792156,2
1000,0.544724,3
1000,0.421516,4
1000,0.349217,5
1000,0.296568,6
1000,0.279915,7
1000,0.379115,8
1000,0.341822,9
1000,0.319814,10
1000,0.300927,11
1000,0.283776,12
1000,0.273762,13
1000,0.249563,14
1000,0.244066,15
1500,8.14558,0
1500,7.92581,1
1500,3.25884,2
1500,2.49423,3
1500,2.13437,4
1500,1.91816,5
1500,1.16794,6
1500,1.03837,7
1500,0.940761,8
1500,1.42359,9
1500,1.3001,10
1500,1.42585,11
1500,1.22494,12
1500,1.07131,13
1500,1.01339,14
1500,1.02572,15
2000,21.275,0
2000,21.2447,1
2000,10.8355,2
2000,7.91071,3
2000,6.28453,4
2000,6.07892,5
2000,5.22515,6
2000,5.58793,7
2000,5.14838,8
2000,6.5063,9
2000,5.60943,10
2000,5.66307,11
2000,5.26742,12
2000,5.23979,13
2000,4.88223,14
2000,5.19064,15
3000,109.966,0
3000,110.416,1
3000,56.8121,2
3000,46.0769,3
3000,37.9749,4
3000,37.0869,5
3000,34.0371,6
3000,33.8503,7
3000,32.1086,8
3000,37.2717,9
3000,34.344,10
3000,34.0773,11
3000,32.7259,12
3000,32.6077,13
3000,31.8388,14
3000,31.5284,15
